Unnamed: 0,datetime,open,high,low,close,volume,vol,roc,trade_type,signals
0,2019-09-08,10000.0,10412.65,10000.0,10391.63,3096.291,3096.291,,HOLD,0
1,2019-09-09,10316.62,10475.54,10077.22,10307.0,14824.373,14824.373,,HOLD,0
2,2019-09-10,10307.0,10382.97,9940.87,10102.02,9068.955,9068.955,,HOLD,0
3,2019-09-11,10094.27,10293.11,9884.31,10159.55,10897.922,10897.922,,HOLD,0
4,2019-09-12,10163.06,10450.13,10042.12,10415.13,15609.634,15609.634,,HOLD,0
5,2019-09-13,10414.96,10440.55,10153.51,10341.34,19252.721,19252.721,,HOLD,0
6,2019-09-14,10343.01,10419.97,10222.77,10332.25,20656.624,20656.624,,HOLD,0
7,2019-09-15,10333.47,10359.2,10024.81,10302.22,20536.255,20536.255,,HOLD,0
8,2019-09-16,10302.0,10353.81,10080.7,10249.27,20185.637,20185.637,,HOLD,0
9,2019-09-17,10257.3,10270.63,10136.77,10186.52,22519.607,22519.607,,HOLD,0
10,2019-09-18,10183.87,10256.65,10097.92,10155.16,20832.895,20832.895,-2.2755814054195467,HOLD,0
11,2019-09-19,10154.7,10331.62,9530.02,10245.3,26228.754,26228.754,-0.5986222955273179,HOLD,0
12,2019-09-20,10247.7,10279.3,10070.5,10166.35,23265.91,23265.91,0.6368033324028355,HOLD,0
13,2019-09-21,10166.56,10175.3,9912.63,9983.33,23642.387,23642.387,-1.7345256433601852,HOLD,0
14,2019-09-22,9992.7,10089.52,9857.0,10023.04,23916.354,23916.354,-3.7646193566474806,HOLD,0
15,2019-09-23,10027.69,10046.91,9620.0,9701.96,31927.062,31927.062,-6.182757747061807,HOLD,0
16,2019-09-24,9701.1,9792.83,8645.61,8645.61,29758.535,29758.535,-16.324033971303443,HOLD,0
17,2019-09-25,8493.32,8725.24,8200.0,8430.07,48222.102,48222.102,-18.172296844757728,HOLD,0
18,2019-09-26,8428.15,8464.4,7700.67,8060.15,60065.945,60065.945,-21.358789455249017,HOLD,0
19,2019-09-27,8061.98,8260.0,7851.94,8176.52,40034.653,40034.653,-19.731959491563355,HOLD,0
20,2019-09-28,8178.26,8311.0,8001.14,8195.38,33820.919,33820.919,-19.29836654469256,HOLD,0
21,2019-09-29,8199.0,8226.35,7888.98,8041.96,35966.056,35966.056,-21.505861224171074,HOLD,0
22,2019-09-30,8042.08,8331.89,7709.01,8285.84,54412.52,54412.52,-18.497395820525565,HOLD,0
23,2019-10-01,8285.31,8499.0,8171.0,8290.0,39212.804,39212.804,-16.961574945434034,HOLD,0
24,2019-10-02,8290.0,8365.92,8149.35,8352.14,30329.179,30329.179,-16.670590958431784,HOLD,0
25,2019-10-03,8353.4,8386.0,8020.0,8220.27,33430.23,33430.23,-15.272068736626398,HOLD,0
26,2019-10-04,8219.95,8227.42,7979.95,8130.56,28421.111,28421.111,-5.957358705747772,HOLD,0
27,2019-10-05,8130.0,8175.0,8010.0,8122.14,30262.006,30262.006,-3.6527573317896467,HOLD,0
28,2019-10-06,8122.01,8148.43,7760.0,7852.79,41909.039,41909.039,-2.5726568364112246,HOLD,0
29,2019-10-07,7851.01,8330.0,7764.42,8186.88,62760.299,62760.299,0.12670427027634545,BUY,1
30,2019-10-08,8188.55,8322.01,8103.88,8167.62,44715.165,44715.165,-0.33872742935653344,HOLD,0
31,2019-10-09,8168.33,8700.0,8113.0,8559.77,65453.643,65453.643,6.438853214887907,HOLD,0
32,2019-10-10,8559.77,8640.89,8419.34,8556.02,44285.668,44285.668,3.260743630096652,HOLD,0
33,2019-10-11,8557.0,8788.0,8210.0,8255.58,69157.964,69157.964,-0.4151990349819057,HOLD,0
34,2019-10-12,8255.54,8397.45,8248.34,8300.22,37761.514,37761.514,-0.6216370894166046,HOLD,0
35,2019-10-13,8300.31,8456.0,8137.3,8274.66,43820.913,43820.913,0.6616570988544179,HOLD,0
36,2019-10-14,8274.33,8381.77,8205.02,8346.05,61999.821,61999.821,2.6503709461586755,HOLD,0
37,2019-10-15,8346.31,8408.62,8080.0,8160.01,86246.749,86246.749,0.4662564299556582,HOLD,0
38,2019-10-16,8160.55,8184.0,7900.24,7992.21,70434.452,70434.452,1.775419946286605,HOLD,0
39,2019-10-17,7994.76,8124.63,7930.0,8069.2,58354.602,58354.602,-1.4374218261413385,HOLD,0
40,2019-10-18,8069.41,8117.3,7812.0,7943.94,75251.352,75251.352,-2.738619083649829,HOLD,0
41,2019-10-19,7945.57,8108.54,7852.12,7947.13,78024.395,78024.395,-7.157201653782752,HOLD,0
42,2019-10-20,7947.78,8300.5,7871.17,8218.23,78663.915,78663.915,-3.9479804862541323,HOLD,0
43,2019-10-21,8218.23,8334.57,8150.0,8201.74,59928.516,59928.516,-0.6521649599422474,HOLD,0
44,2019-10-22,8201.0,8290.0,8000.0,8020.89,69506.88,69506.88,-3.3653324851630306,HOLD,0
45,2019-10-23,8020.68,8047.78,7172.76,7465.0,108484.139,108484.139,-9.784812910741946,HOLD,0
46,2019-10-24,7465.18,7495.81,7337.44,7411.35,66719.534,66719.534,-11.199309853164063,HOLD,0
47,2019-10-25,7410.07,8800.0,7359.0,8650.0,165118.926,165118.926,6.004772052975427,HOLD,0
48,2019-10-26,8650.0,10408.48,8626.89,9232.22,248161.161,248161.161,15.51523295809294,HOLD,0
49,2019-10-27,9234.75,9803.83,9066.07,9533.32,163544.019,163544.019,18.144549645565846,HOLD,0
50,2019-10-28,9534.37,9930.13,9156.03,9217.36,155599.975,155599.975,16.030080791143963,HOLD,0
51,2019-10-29,9215.78,9569.1,9070.0,9415.02,124703.014,124703.014,18.470693193643495,HOLD,0
52,2019-10-30,9415.02,9418.65,8975.72,9165.3,98464.858,98464.858,11.524014295048923,HOLD,0
53,2019-10-31,9163.4,9438.64,8933.0,9150.0,98836.044,98836.044,11.561693006605921,HOLD,0
54,2019-11-01,9149.88,9280.0,9050.27,9231.01,87256.949,87256.949,15.087103800201728,HOLD,0
55,2019-11-02,9231.7,9375.0,9194.98,9287.8,56602.055,56602.055,24.417950435365032,HOLD,0
56,2019-11-03,9288.96,9366.69,9073.0,9197.88,75612.722,75612.722,24.105324940800244,HOLD,0
57,2019-11-04,9197.86,9550.0,9126.01,9395.46,90433.357,90433.357,8.61803468208091,HOLD,0
58,2019-11-05,9395.47,9457.13,9164.33,9313.2,113738.226,113738.226,0.8771454753028207,HOLD,0
59,2019-11-06,9313.1,9450.0,9259.48,9343.6,73767.911,73767.911,-1.9900727133884022,HOLD,0
60,2019-11-07,9344.29,9381.93,9091.2,9219.64,77389.569,77389.569,0.024735933065422877,HOLD,0
61,2019-11-08,9221.63,9259.3,8669.85,8775.03,151851.16,151851.16,-6.79754264993595,HOLD,0
62,2019-11-09,8775.6,8878.0,8727.0,8811.15,66846.392,66846.392,-3.864030637295013,HOLD,0
63,2019-11-10,8811.3,9187.0,8760.0,9041.31,91099.197,91099.197,-1.1878688524590175,HOLD,0
64,2019-11-11,9041.31,9072.91,8611.11,8728.93,113373.762,113373.762,-5.439058131233743,HOLD,0
65,2019-11-12,8729.89,8889.06,8552.12,8817.0,107520.546,107520.546,-5.06901526733995,HOLD,0
66,2019-11-13,8817.94,8838.0,8712.0,8774.76,58585.811,58585.811,-4.600190478675515,HOLD,0
67,2019-11-14,8774.78,8798.06,8581.39,8642.25,87099.995,87099.995,-8.016744257332785,HOLD,0
68,2019-11-15,8642.47,8780.0,8380.0,8473.27,145602.497,145602.497,-9.018704634282527,HOLD,0
69,2019-11-16,8473.3,8540.54,8435.0,8491.06,48657.04,48657.04,-9.124320390427677,CLOSE,-1
70,2019-11-17,8491.18,8631.0,8355.78,8504.04,72152.266,72152.266,-7.761691345865984,HOLD,0
71,2019-11-18,8504.13,8504.71,8050.0,8183.26,123477.142,123477.142,-6.74379460810961,HOLD,0
72,2019-11-19,8183.3,8212.87,8000.0,8131.7,110854.03,110854.03,-7.711252220198272,HOLD,0
73,2019-11-20,8131.12,8230.0,8037.5,8094.05,87352.38,87352.38,-10.477021582049495,HOLD,0
74,2019-11-21,8094.57,8131.51,7432.0,7621.9,180289.189,180289.189,-12.682310432091914,HOLD,0
75,2019-11-22,7621.89,7765.03,6762.73,7262.72,371213.951,371213.951,-17.628218214812296,HOLD,0
76,2019-11-23,7261.89,7345.84,7073.38,7305.99,139643.311,139643.311,-16.73857746536658,HOLD,0
77,2019-11-24,7306.19,7324.92,6855.91,6900.86,183676.078,183676.078,-20.14972952645434,HOLD,0
78,2019-11-25,6899.77,7386.29,6510.19,7102.03,333987.914,333987.914,-16.183126467113652,HOLD,0
79,2019-11-26,7103.34,7340.06,7011.9,7150.0,193962.094,193962.094,-15.793787819188642,HOLD,0
80,2019-11-27,7149.97,7669.2,6850.0,7506.77,297842.994,297842.994,-11.727014454306428,HOLD,0
81,2019-11-28,7506.78,7643.0,7356.0,7415.79,175000.609,175000.609,-9.378536182401643,HOLD,0
82,2019-11-29,7417.0,7850.0,7394.57,7736.66,185819.186,185819.186,-4.858024767268832,HOLD,0
83,2019-11-30,7737.23,7800.0,7444.18,7542.93,141966.392,141966.392,-6.8089522550515476,HOLD,0
84,2019-12-01,7541.08,7541.08,7222.29,7387.38,196291.252,196291.252,-3.076923076923066,HOLD,0
85,2019-12-02,7388.0,7416.75,7137.74,7291.0,143966.953,143966.953,0.38938579485372493,BUY,1
86,2019-12-03,7291.74,7404.42,7231.35,7290.86,84699.47,84699.47,-0.20709034641438473,HOLD,0
87,2019-12-04,7290.85,7800.0,7070.0,7191.0,274879.481,274879.481,4.204403509127852,HOLD,0
88,2019-12-05,7189.42,7480.0,7142.54,7384.99,176315.108,176315.108,3.984212964462275,HOLD,0
89,2019-12-06,7384.66,7602.44,7295.73,7522.1,136218.707,136218.707,5.204195804195799,HOLD,0
90,2019-12-07,7521.13,7616.91,7467.44,7487.2,83208.782,83208.782,-0.26069800992971626,HOLD,0
91,2019-12-08,7487.19,7559.39,7376.0,7508.2,84380.338,84380.338,1.24612482284423,HOLD,0
92,2019-12-09,7507.87,7676.48,7269.05,7337.49,136440.176,136440.176,-5.159461576442547,HOLD,0
93,2019-12-10,7338.2,7403.71,7152.0,7220.98,126662.794,126662.794,-4.268235287878852,HOLD,0
94,2019-12-11,7220.92,7267.0,7117.74,7205.77,97320.727,97320.727,-2.458381726674408,HOLD,0
95,2019-12-12,7206.78,7295.12,7080.0,7194.77,140594.105,140594.105,-1.3198463859552811,HOLD,0
96,2019-12-13,7194.08,7298.0,7190.0,7252.98,80178.833,80178.833,-0.519554620442586,HOLD,0
97,2019-12-14,7252.98,7266.14,7007.86,7061.34,97837.512,97837.512,-1.803087192323738,HOLD,0
98,2019-12-15,7060.79,7196.0,7004.77,7115.0,87933.233,87933.233,-3.6559291210956246,HOLD,0
99,2019-12-16,7115.45,7147.34,6831.0,6887.54,117597.89,117597.89,-8.435942090639593,HOLD,0
100,2019-12-17,6887.48,6940.0,6550.0,6618.96,166411.289,166411.289,-11.596324393631797,HOLD,0
101,2019-12-18,6618.96,7479.99,6427.0,7277.44,328489.593,328489.593,-3.0734397059215324,HOLD,0
102,2019-12-19,7278.11,7367.87,7042.82,7146.29,158849.566,158849.566,-2.60579571488343,HOLD,0
103,2019-12-20,7146.29,7217.08,7078.17,7184.39,86449.566,86449.566,-0.5067179247138065,HOLD,0
104,2019-12-21,7184.39,7185.0,7108.0,7131.01,44340.865,44340.865,-1.0375018908458156,HOLD,0
105,2019-12-22,7131.02,7517.61,7122.0,7502.92,129797.395,129797.395,4.282972214539171,HOLD,0
106,2019-12-23,7502.92,7691.0,7262.0,7314.01,215298.787,215298.787,0.8414472396173878,HOLD,0
107,2019-12-24,7314.03,7434.55,7156.08,7252.04,149081.004,149081.004,2.70062056210294,HOLD,0
108,2019-12-25,7251.57,7267.63,7123.19,7201.45,96965.072,96965.072,1.2150386507378652,HOLD,0
109,2019-12-26,7201.67,7438.8,7151.0,7197.46,133973.533,133973.533,4.499719783841538,HOLD,0
110,2019-12-27,7197.84,7270.0,7078.89,7248.4,112284.61,112284.61,9.509651063006874,HOLD,0
111,2019-12-28,7248.4,7359.15,7235.0,7311.48,91292.882,91292.882,0.46774690000879193,HOLD,0
112,2019-12-29,7310.29,7527.0,7283.6,7383.67,102543.974,102543.974,3.3217235796476174,HOLD,0
113,2019-12-30,7383.68,7400.0,7215.58,7240.43,94375.362,94375.362,0.7800244697183656,HOLD,0
114,2019-12-31,7240.8,7319.0,7141.0,7189.0,89203.437,89203.437,0.8132087880959427,HOLD,0
115,2020-01-01,7189.43,7260.43,7170.15,7197.57,56801.329,56801.329,-4.069748844449894,HOLD,0
116,2020-01-02,7197.57,7209.59,6922.0,6962.04,115295.677,115295.677,-4.812271243818378,HOLD,0
117,2020-01-03,6962.34,7407.28,6863.44,7341.72,208493.458,208493.458,1.2366175586455697,HOLD,0
118,2020-01-04,7341.6,7400.0,7269.21,7350.71,92586.033,92586.033,2.0726381492616186,HOLD,0
119,2020-01-05,7350.54,7495.0,7303.0,7354.36,117765.972,117765.972,2.179935699538449,HOLD,0
120,2020-01-06,7354.36,7808.65,7345.0,7757.39,168150.317,168150.317,7.022101429280947,HOLD,0
121,2020-01-07,7757.74,8215.33,7733.0,8152.49,280809.162,280809.162,11.50259591765279,HOLD,0
122,2020-01-08,8150.9,8468.42,7870.11,8059.84,321225.114,321225.114,9.157641118847405,HOLD,0
123,2020-01-09,8059.77,8060.0,7750.01,7818.59,187263.143,187263.143,7.985161102310223,HOLD,0
124,2020-01-10,7817.91,8210.62,7670.0,8207.09,253783.948,253783.948,14.161774933926829,HOLD,0
125,2020-01-11,8207.2,8292.19,8003.87,8020.56,164741.715,164741.715,11.434275734727152,HOLD,0
126,2020-01-12,8020.58,8195.0,7956.28,8186.7,108629.964,108629.964,17.590533809055977,HOLD,0
127,2020-01-13,8186.22,8200.0,8053.78,8113.0,74581.364,74581.364,10.505440142092048,HOLD,0
128,2020-01-14,8112.99,8893.0,8109.02,8825.0,290777.981,290777.981,20.056429923095862,HOLD,0
129,2020-01-15,8825.0,8921.2,8570.52,8825.3,237633.837,237633.837,20.000924621585003,HOLD,0
130,2020-01-16,8825.35,8868.21,8596.25,8725.08,167958.963,167958.963,12.474427610317385,HOLD,0
131,2020-01-17,8724.99,9039.0,8680.0,8918.72,205717.686,205717.686,9.39872358015772,HOLD,0
132,2020-01-18,8918.73,8995.0,8816.0,8925.0,114708.682,114708.682,10.734208123238176,HOLD,0
133,2020-01-19,8925.0,9205.3,8440.91,8705.85,225314.525,225314.525,11.348081943163656,HOLD,0
134,2020-01-20,8705.98,8750.37,8526.06,8650.0,125161.675,125161.675,5.396675313661725,HOLD,0
135,2020-01-21,8650.0,8790.1,8448.6,8742.43,107577.153,107577.153,9.000244371964051,HOLD,0
136,2020-01-22,8742.78,8820.0,8585.85,8684.57,94305.496,94305.496,6.081449179767184,HOLD,0
137,2020-01-23,8684.47,8694.0,8326.0,8409.6,163407.064,163407.064,3.655860963885127,HOLD,0
138,2020-01-24,8410.0,8528.0,8247.0,8441.96,144785.391,144785.391,-4.340396600566587,HOLD,0
139,2020-01-25,8442.82,8455.0,8272.0,8344.64,96961.714,96961.714,-5.446387091656934,HOLD,0
140,2020-01-26,8344.37,8624.45,8300.0,8611.21,117898.916,117898.916,-1.3050883201071062,HOLD,0
141,2020-01-27,8611.21,9015.48,8565.0,8913.61,172235.328,172235.328,-0.0572952172508967,CLOSE,-1
142,2020-01-28,8913.61,9436.06,8905.0,9398.98,244467.546,244467.546,5.310700280112046,BUY,1
143,2020-01-29,9399.72,9460.52,9242.0,9311.0,169460.643,169460.643,6.951073128987972,HOLD,0
144,2020-01-30,9311.23,9599.0,9210.42,9525.67,190137.536,190137.536,10.123352601156066,HOLD,0
145,2020-01-31,9525.67,9550.72,9220.0,9364.51,146644.026,146644.026,7.115641760929159,HOLD,0
146,2020-02-01,9364.5,9477.76,9306.0,9392.74,109040.285,109040.285,8.15434730792659,HOLD,0
147,2020-02-02,9392.99,9489.92,9160.01,9338.2,148402.977,148402.977,11.042142313546432,HOLD,0
148,2020-02-03,9340.49,9647.61,9250.0,9300.64,159049.385,159049.385,10.171571530781964,HOLD,0
149,2020-02-04,9300.63,9368.0,9105.0,9198.35,147843.902,147843.902,10.230639068911307,HOLD,0
150,2020-02-05,9198.32,9799.08,9179.88,9630.0,212311.697,212311.697,11.830973812042679,HOLD,0
151,2020-02-06,9630.0,9884.0,9550.0,9778.12,200556.367,200556.367,9.69876402490124,HOLD,0
152,2020-02-07,9777.97,9900.0,9736.66,9821.52,129740.767,129740.767,4.4955942027752105,HOLD,0
153,2020-02-08,9821.52,9956.0,9680.55,9906.43,129267.269,129267.269,6.394909247127067,HOLD,0
154,2020-02-09,9906.09,10184.34,9892.15,10167.38,143407.013,143407.013,6.73663899757182,HOLD,0
155,2020-02-10,10167.37,10213.56,9750.0,9865.56,184242.737,184242.737,5.350520208745557,HOLD,0
156,2020-02-11,9865.56,10409.96,9729.36,10229.06,190119.815,190119.815,8.903898117056364,HOLD,0
157,2020-02-12,10230.74,10479.98,10229.71,10339.99,159674.258,159674.258,10.727870467541912,HOLD,0
158,2020-02-13,10339.64,10540.0,10101.0,10239.63,213052.717,213052.717,10.095971890106492,HOLD,0
159,2020-02-14,10240.02,10390.0,10123.37,10356.82,130975.746,130975.746,12.594323982018496,HOLD,0
160,2020-02-15,10356.27,10389.75,9752.3,9914.99,152146.127,152146.127,2.9593977154724893,HOLD,0
161,2020-02-16,9914.31,10060.45,9626.64,9921.86,141547.956,141547.956,1.470016731232593,HOLD,0
162,2020-02-17,9921.87,9971.0,9461.89,9716.0,185338.179,185338.179,-1.0743754530866956,HOLD,0
163,2020-02-18,9716.0,10270.0,9598.0,10174.32,166119.369,166119.369,2.7042032296195506,HOLD,0
164,2020-02-19,10174.53,10286.0,9293.07,9593.65,187495.927,187495.927,-5.642849977083575,HOLD,0
165,2020-02-20,9593.31,9700.0,9382.59,9601.99,143105.587,143105.587,-2.6716172219316436,HOLD,0
166,2020-02-21,9601.51,9759.59,9547.0,9681.39,98954.288,98954.288,-5.354059903842579,HOLD,0
167,2020-02-22,9681.39,9710.7,9565.0,9659.2,58419.547,58419.547,-6.584048920743624,HOLD,0
168,2020-02-23,9658.95,10018.9,9657.0,9943.12,97134.358,97134.358,-2.8957100989000395,HOLD,0
169,2020-02-24,9943.12,10000.0,9487.38,9662.95,157965.671,157965.671,-6.699643326812666,HOLD,0
170,2020-02-25,9662.88,9686.78,9247.0,9326.0,168641.725,168641.725,-5.9403993347446615,HOLD,0
171,2020-02-26,9326.0,9384.0,8610.0,8792.22,267005.172,267005.172,-11.385365244016754,HOLD,0
172,2020-02-27,8793.96,8978.0,8533.9,8828.0,200638.488,200638.488,-9.139563606422396,HOLD,0
173,2020-02-28,8827.12,8908.86,8450.0,8699.57,196066.11,196066.11,-14.49482618985839,HOLD,0
174,2020-02-29,8699.86,8799.83,8530.0,8531.98,103524.685,103524.685,-11.066382450891998,HOLD,0
175,2020-03-01,8532.5,8762.24,8409.0,8537.84,174332.916,174332.916,-11.082598503018637,HOLD,0
176,2020-03-02,8537.84,8972.0,8504.95,8919.7,160294.484,160294.484,-7.8675686032687375,HOLD,0
177,2020-03-03,8919.7,8922.34,8657.41,8765.0,160123.605,160123.605,-9.257495444757335,HOLD,0
178,2020-03-04,8765.0,8853.88,8669.23,8756.93,105462.12,105462.12,-11.929756454714424,HOLD,0
