Unnamed: 0,datetime,open,high,low,close,volume,roc,ATR,trade_type,signals
0,2019-09-08,10000.0,10412.65,10000.0,10391.63,3096.291,,,BUY,0
1,2019-09-09,10316.62,10475.54,10077.22,10307.0,14824.373,,,BUY,0
2,2019-09-10,10307.0,10382.97,9940.87,10102.02,9068.955,,,BUY,0
3,2019-09-11,10094.27,10293.11,9884.31,10159.55,10897.922,,,BUY,0
4,2019-09-12,10163.06,10450.13,10042.12,10415.13,15609.634,,,BUY,0
5,2019-09-13,10414.96,10440.55,10153.51,10341.34,19252.721,,,BUY,0
6,2019-09-14,10343.01,10419.97,10222.77,10332.25,20656.624,,,BUY,0
7,2019-09-15,10333.47,10359.2,10024.81,10302.22,20536.255,,,BUY,0
8,2019-09-16,10302.0,10353.81,10080.7,10249.27,20185.637,,,BUY,0
9,2019-09-17,10257.3,10270.63,10136.77,10186.52,22519.607,,,BUY,0
10,2019-09-18,10183.87,10256.65,10097.92,10155.16,20832.895,-2.2755814054195467,,BUY,0
11,2019-09-19,10154.7,10331.62,9530.02,10245.3,26228.754,-0.5986222955273179,,BUY,0
12,2019-09-20,10247.7,10279.3,10070.5,10166.35,23265.91,0.6368033324028355,,BUY,0
13,2019-09-21,10166.56,10175.3,9912.63,9983.33,23642.387,-1.7345256433601852,,BUY,0
14,2019-09-22,9992.7,10089.52,9857.0,10023.04,23916.354,-3.7646193566474806,324.7964285714283,BUY,0
15,2019-09-23,10027.69,10046.91,9620.0,9701.96,31927.062,-6.182757747061807,332.09025510204054,BUY,0
16,2019-09-24,9701.1,9792.83,8645.61,8645.61,29758.535,-16.324033971303443,390.3138083090376,BUY,0
17,2019-09-25,8493.32,8725.24,8200.0,8430.07,48222.102,-18.172296844757728,399.9513934298206,BUY,0
18,2019-09-26,8428.15,8464.4,7700.67,8060.15,60065.945,-21.358789455249017,425.93557961340485,BUY,0
19,2019-09-27,8061.98,8260.0,7851.94,8176.52,40034.653,-19.731959491563355,424.65875249816173,BUY,0
20,2019-09-28,8178.26,8311.0,8001.14,8195.38,33820.919,-19.29836654469256,416.45884160543585,BUY,0
